major,smartphone age,number countries,Avatar: The Way of Water,Avengers: Endgame,Back to the Future,Barbie,Booksmart,Deadpool and Wolverine,Dune,Encanto,Everything Everywhere All at Once,Frozen,Get Out,Inside Out 2,Interstellar,Knives Out,Lady Bird,My Neighbor Totoro,Spider-Man: Across the Spiderverse,Star Wars: The Rise of Skywalker,The Matrix,Titanic
ME,14,9.0,,4,4,4,,3,2,,5,3,,3,5,2,,,4,,3,
ME,10,15.0,3,5,,3,,4,2,,,3,,3,5,4,,,4,,4,3
CE,6,9.0,,5,,4,,3,,4,,5,,4,,,,,5,,,3
CE,14,7.0,,5,,,,,5,,,5,,,,,,,,,2,
ME,15,5.0,,4,,,,,,,3,3,,,,,,,3,2,,
ME,10,8.0,,,,5,,5,2,4,,3,,,3,,,4,5,,,4
ME,12,5.0,4,5,3,3,,,5,,4,4,,,4,3,,5,5,5,5,3
ME,12,13.0,,,3,,,,5,,,,,,5,,,4,3,5,5,3
EE,15,16.0,1,5,5,,,5,5,,4,1,,3,5,,,5,3,5,5,5
ME,10,3.0,,5,4,,,,,2,4,4,5,4,5,5,,,4,3,5,3
EE,10,9.0,5,5,4,3,,5,,,,4,4,5,,,,5,4,3,5,5
